# depth[mm]	Amp[V]	HF [V]	TGC [dB]
72.4	0.009	0.001	19.528
72.5	0.008	-0.007	19.528
72.6	0.007	0.001	19.685
72.8	0.005	-0.007	19.685
72.9	0.003	0.001	19.685
73.0	0.002	0.001	19.685
73.2	0.001	0.001	19.685
73.3	0.003	0.001	19.843
73.4	0.005	0.001	19.843
73.6	0.008	0.009	19.843
73.7	0.010	0.009	19.843
73.8	0.009	-0.007	19.843
74.0	0.007	0.001	19.843
74.1	0.004	0.001	20.000
74.2	0.003	0.001	20.000
74.4	0.004	-0.007	20.000
74.5	0.005	0.001	20.000
74.6	0.006	0.001	20.000
74.8	0.006	0.009	20.157
74.9	0.006	0.001	20.157
75.0	0.007	0.001	20.157
75.2	0.008	-0.007	20.157
75.3	0.008	0.001	20.315
75.4	0.009	0.009	20.315
75.6	0.010	0.001	20.315
75.7	0.013	0.001	20.315
75.8	0.018	-0.015	20.315
76.0	0.023	-0.023	20.315
76.1	0.025	-0.007	20.472
76.2	0.024	0.016	20.472
76.4	0.019	0.016	20.472
76.5	0.016	0.001	20.472
76.6	0.015	-0.015	20.472
76.8	0.016	-0.015	20.630
76.9	0.018	-0.007	20.630
77.0	0.017	-0.007	20.630
77.2	0.014	0.009	20.630
77.3	0.013	0.016	20.630
77.4	0.014	0.009	20.630
77.6	0.017	-0.007	20.630
77.7	0.022	-0.015	20.787
77.8	0.034	0.009	20.787
78.0	0.066	0.072	20.787
78.1	0.140	0.048	20.787
78.2	0.268	-0.204	20.945
78.4	0.446	-0.393	20.945
78.5	0.647	0.024	20.945
78.6	0.831	0.764	20.945
78.8	0.969	0.733	20.945
78.9	1.051	-0.361	21.102
79.0	1.087	-1.007	21.102
79.2	1.096	-0.763	21.102
79.3	1.086	0.379	21.102
79.4	1.055	1.001	21.102
79.6	0.991	0.757	21.102
79.7	0.892	-0.070	21.260
79.8	0.769	-0.653	21.260
80.0	0.643	-0.606	21.260
80.1	0.534	-0.157	21.260
80.2	0.451	0.253	21.260
80.4	0.390	0.387	21.260
80.5	0.341	0.229	21.417
80.6	0.296	-0.054	21.417
80.8	0.254	-0.228	21.417
80.9	0.219	-0.196	21.417
81.0	0.192	-0.031	21.417
81.2	0.170	0.127	21.575
81.3	0.148	0.142	21.575
81.4	0.123	0.032	21.575
81.6	0.096	-0.062	21.575
81.7	0.073	-0.070	21.732
81.8	0.061	-0.039	21.732
82.0	0.058	0.032	21.732
82.1	0.061	0.056	21.732
82.2	0.062	0.001	21.732
82.4	0.058	-0.054	21.732
82.5	0.050	-0.039	21.890
82.6	0.045	0.009	21.890
82.8	0.047	0.040	21.890
82.9	0.054	0.048	21.890
83.0	0.062	0.001	21.890
83.2	0.065	-0.054	22.047
83.3	0.062	-0.054	22.047
83.4	0.057	0.009	22.047
83.6	0.052	0.048	22.047
83.7	0.051	0.040	22.047
83.8	0.052	0.001	22.047
84.0	0.053	-0.047	22.205
84.1	0.052	-0.047	22.205
84.2	0.050	-0.015	22.205
84.4	0.049	0.032	22.205
84.5	0.050	0.048	22.362
84.6	0.052	0.024	22.362
84.8	0.052	-0.031	22.362
