# depth[mm]	Amp[V]	HF [V]	TGC [dB]
96.3	0.032	0.021	22.047
96.5	0.047	-0.011	22.047
96.6	0.069	-0.058	22.047
96.7	0.096	-0.089	22.205
96.9	0.123	-0.034	22.205
97.0	0.144	0.084	22.047
97.1	0.160	0.155	22.205
97.3	0.173	0.131	22.205
97.4	0.190	0.029	22.205
97.5	0.217	-0.121	22.362
97.7	0.255	-0.239	22.362
97.8	0.309	-0.278	22.362
98.0	0.382	-0.137	22.362
98.1	0.482	0.202	22.362
98.2	0.610	0.588	22.362
98.4	0.762	0.619	22.520
98.5	0.916	0.029	22.520
98.6	1.047	-0.861	22.520
98.8	1.138	-1.011	22.520
98.9	1.186	-0.357	22.520
99.0	1.206	0.997	22.520
99.2	1.216	0.997	22.520
99.3	1.228	0.548	22.677
99.5	1.236	-1.011	22.677
99.6	1.231	-1.011	22.677
99.7	1.208	-0.672	22.677
99.9	1.172	0.800	22.677
100.0	1.136	0.997	22.835
100.1	1.102	0.698	22.835
100.3	1.060	-0.420	22.835
100.4	0.993	-0.971	22.992
100.5	0.893	-0.641	22.835
100.7	0.769	0.084	22.835
100.8	0.645	0.548	22.992
101.0	0.542	0.509	22.992
101.1	0.470	0.139	22.992
101.2	0.421	-0.255	23.150
101.4	0.378	-0.373	22.992
101.5	0.331	-0.208	23.150
101.6	0.278	0.044	23.150
101.8	0.225	0.186	23.150
101.9	0.180	0.178	23.150
102.0	0.147	0.092	23.307
102.2	0.126	-0.019	23.307
102.3	0.117	-0.074	23.307
102.5	0.116	-0.113	23.307
102.6	0.119	-0.097	23.307
102.7	0.122	-0.003	23.307
102.9	0.119	0.084	23.307
103.0	0.111	0.107	23.307
103.1	0.099	0.044	23.465
103.3	0.086	-0.042	23.465
103.4	0.075	-0.074	23.622
103.5	0.066	-0.050	23.465
103.7	0.057	-0.003	23.622
103.8	0.048	0.029	23.622
104.0	0.039	0.037	23.622
104.1	0.034	0.029	23.622
104.2	0.032	0.005	23.622
104.4	0.033	-0.019	23.780
104.5	0.034	-0.034	23.780
104.6	0.034	-0.026	23.780
104.8	0.032	-0.011	23.780
104.9	0.030	0.005	23.780
105.0	0.030	0.021	23.780
105.2	0.032	0.029	23.780
105.3	0.038	0.037	23.937
105.5	0.049	0.013	23.937
105.6	0.061	-0.034	23.937
105.7	0.072	-0.066	23.937
105.9	0.078	-0.058	23.937
106.0	0.079	0.021	24.094
106.1	0.076	0.068	24.094
106.3	0.071	0.060	24.094
106.4	0.069	0.005	24.094
106.5	0.067	-0.050	24.252
106.7	0.065	-0.066	24.252
106.8	0.060	-0.019	24.252
107.0	0.055	0.029	24.252
107.1	0.050	0.052	24.252
107.2	0.048	0.013	24.252
107.4	0.048	-0.026	24.252
107.5	0.045	-0.050	24.409
107.6	0.038	-0.019	24.409
107.8	0.029	0.005	24.409
107.9	0.022	0.013	24.409
108.0	0.022	-0.003	24.409
108.2	0.032	0.029	24.567
108.3	0.050	0.052	24.567
108.5	0.072	0.021	24.567
108.6	0.093	-0.058	24.567
108.7	0.109	-0.105	24.567
108.9	0.120	-0.066	24.724
109.0	0.125	0.052	24.724
109.1	0.126	0.123	24.724
109.3	0.121	0.084	24.724
109.4	0.114	-0.026	24.724
109.5	0.104	-0.097	24.724
109.7	0.091	-0.074	24.882
109.8	0.077	0.005	24.882
110.0	0.063	0.052	24.882
110.1	0.050	0.044	24.882
110.2	0.042	0.021	24.882
110.4	0.038	-0.019	25.039
110.5	0.037	-0.034	25.039
110.6	0.037	-0.034	25.039
110.8	0.036	-0.011	25.039
110.9	0.032	0.013	25.039
111.0	0.026	0.021	25.039
111.2	0.019	0.021	25.039
111.3	0.013	0.005	25.039
111.5	0.009	-0.003	25.197
111.6	0.008	-0.003	25.197
111.7	0.010	-0.011	25.197
111.9	0.013	-0.011	25.354
112.0	0.017	-0.011	25.354
112.1	0.019	0.005	25.354
112.3	0.020	0.021	25.354
112.4	0.022	0.013	25.354
112.6	0.025	-0.003	25.354
112.7	0.030	-0.026	25.512
112.8	0.034	-0.034	25.512
113.0	0.035	-0.011	25.512
113.1	0.034	0.013	25.669
113.2	0.032	0.029	25.512
113.4	0.031	0.029	25.512
113.5	0.032	-0.003	25.669
113.6	0.032	-0.026	25.669
113.8	0.029	-0.026	25.669
113.9	0.023	-0.003	25.669
114.1	0.017	0.013	25.669
